 minimum eigenvalues =   -1.2330348555383841E-007   71889.488818632090        95464.404216036477     
 maximum eigenvalues =    447525089.89036089        193199717.73536611        133678495.32096455     
 num eigs kept =           60
 iter   154 lrate =  1.0000000000 LL =  -5.8543419723 nd =  0.0109672037, D =   0.34967E+01  0.34967E+01  (  3.70 s,   0.4 h)
 iter   155 lrate =  1.0000000000 LL =  -5.8543489620 nd =  0.0104450875, D =   0.34999E+01  0.34999E+01  (  3.70 s,   0.4 h)
 iter   156 lrate =  0.6000000000 LL =  -5.8563876698 nd =  0.0139692121, D =   0.35017E+01  0.35017E+01  (  3.69 s,   0.4 h)
 iter   157 lrate =  0.4000000000 LL =  -5.8564834169 nd =  0.0149719733, D =   0.35029E+01  0.35029E+01  (  3.70 s,   0.4 h)
 iter   158 lrate =  0.3000000000 LL =  -5.8579038348 nd =  0.0161719939, D =   0.35039E+01  0.35039E+01  (  3.71 s,   0.4 h)
 iter   159 lrate =  0.2500000000 LL =  -5.8581065031 nd =  0.0170767867, D =   0.35047E+01  0.35047E+01  (  3.70 s,   0.4 h)
 iter   160 lrate =  0.2250000000 LL =  -5.8579374299 nd =  0.0177696089, D =   0.35054E+01  0.35054E+01  (  3.70 s,   0.3 h)
 iter   161 lrate =  0.3250000000 LL =  -5.8533624323 nd =  0.0171972205, D =   0.35064E+01  0.35064E+01  (  3.71 s,   0.3 h)
 iter   162 lrate =  0.4250000000 LL =  -5.8497723002 nd =  0.0164697735, D =   0.35078E+01  0.35078E+01  (  3.69 s,   0.3 h)
 iter   163 lrate =  0.5000000000 LL =  -5.8475556343 nd =  0.0158406325, D =   0.35093E+01  0.35093E+01  (  3.69 s,   0.3 h)
 iter   164 lrate =  0.5000000000 LL =  -5.8479993765 nd =  0.0158139687, D =   0.35109E+01  0.35109E+01  (  3.71 s,   0.3 h)
 iter   165 lrate =  0.2500000000 LL =  -5.8561921471 nd =  0.0178806081, D =   0.35117E+01  0.35117E+01  (  3.71 s,   0.3 h)
 iter   166 lrate =  0.2250000000 LL =  -5.8556232256 nd =  0.0182557361, D =   0.35124E+01  0.35124E+01  (  3.72 s,   0.3 h)
 iter   167 lrate =  0.2500000000 LL =  -5.8541191311 nd =  0.0182933520, D =   0.35132E+01  0.35132E+01  (  3.67 s,   0.3 h)
 iter   168 lrate =  0.2500000000 LL =  -5.8538202204 nd =  0.0184877242, D =   0.35140E+01  0.35140E+01  (  3.66 s,   0.3 h)
 iter   169 lrate =  0.2500000000 LL =  -5.8534684442 nd =  0.0186167672, D =   0.35148E+01  0.35148E+01  (  3.66 s,   0.3 h)
 iter   170 lrate =  0.2500000000 LL =  -5.8531722411 nd =  0.0187150122, D =   0.35156E+01  0.35156E+01  (  3.66 s,   0.3 h)
 iter   171 lrate =  0.2500000000 LL =  -5.8529074225 nd =  0.0187885600, D =   0.35164E+01  0.35164E+01  (  3.66 s,   0.3 h)
 iter   172 lrate =  0.2500000000 LL =  -5.8526664608 nd =  0.0188446482, D =   0.35172E+01  0.35172E+01  (  3.66 s,   0.3 h)
 iter   173 lrate =  0.2500000000 LL =  -5.8524426110 nd =  0.0188881438, D =   0.35180E+01  0.35180E+01  (  3.67 s,   0.3 h)
 iter   174 lrate =  0.2500000000 LL =  -5.8522312569 nd =  0.0189225207, D =   0.35188E+01  0.35188E+01  (  3.66 s,   0.3 h)
 iter   175 lrate =  0.2500000000 LL =  -5.8520291944 nd =  0.0189503386, D =   0.35196E+01  0.35196E+01  (  3.66 s,   0.3 h)
 iter   176 lrate =  0.2500000000 LL =  -5.8518339092 nd =  0.0189733430, D =   0.35204E+01  0.35204E+01  (  3.66 s,   0.3 h)
 iter   177 lrate =  0.2500000000 LL =  -5.8516437293 nd =  0.0189928128, D =   0.35212E+01  0.35212E+01  (  3.66 s,   0.3 h)
